"indicator_value__|","indicator_value__|__44206__1990","indicator_value__|__44206__1995","indicator_value__|__44206__2000","indicator_value__|__44206__2005","indicator_value__|__44206__2010","indicator_value__|__44206__2011","indicator_value__|__44206__2012","indicator_value__|__44206__2013","indicator_value__|__44206__2014","indicator_value__|__44206__2015","indicator_value__|__44206__2016","indicator_value__|__44206__2017","indicator_value__|__44206__2018","indicator_value__|__44206__2019","indicator_value__|__44206__2030","country_name__AFG","country_name__AGO","country_name__ALB","country_name__AND","country_name__ARE","country_name__ARG","country_name__ARM","country_name__ATG","country_name__AUS","country_name__AUT","country_name__AZE","country_name__BDI","country_name__BEL","country_name__BEN","country_name__BFA","country_name__BGD","country_name__BGR","country_name__BHR","country_name__BHS","country_name__BIH","country_name__BLR","country_name__BLZ","country_name__BOL","country_name__BRA","country_name__BRB","country_name__BRN","country_name__BTN","country_name__BWA","country_name__CAF","country_name__CAN","country_name__CHE","country_name__CHL","country_name__CHN","country_name__CIV","country_name__CMR","country_name__COD","country_name__COG","country_name__COL","country_name__COM","country_name__CPV","country_name__CRI","country_name__CUB","country_name__CYP","country_name__CZE","country_name__DEU","country_name__DJI","country_name__DMA","country_name__DNK","country_name__DOM","country_name__DZA","country_name__ECU","country_name__EGY","country_name__ERI","country_name__ESP","country_name__EST","country_name__ETH","country_name__FIN","country_name__FJI","country_name__FRA","country_name__FSM","country_name__GAB","country_name__GBR","country_name__GEO","country_name__GHA","country_name__GIN","country_name__GMB","country_name__GNB","country_name__GNQ","country_name__GRC","country_name__GRD","country_name__GTM","country_name__GUY","country_name__HKG","country_name__HND","country_name__HRV","country_name__HTI","country_name__HUN","country_name__IDN","country_name__IND","country_name__IRL","country_name__IRN","country_name__IRQ","country_name__ISL","country_name__ISR","country_name__ITA","country_name__JAM","country_name__JOR","country_name__JPN","country_name__KAZ","country_name__KEN","country_name__KGZ","country_name__KHM","country_name__KIR","country_name__KNA","country_name__KOR","country_name__KWT","country_name__LAO","country_name__LBN","country_name__LBR","country_name__LBY","country_name__LCA","country_name__LIE","country_name__LKA","country_name__LSO","country_name__LTU","country_name__LUX","country_name__LVA","country_name__MAR","country_name__MCO","country_name__MDA","country_name__MDG","country_name__MDV","country_name__MEX","country_name__MHL","country_name__MKD","country_name__MLI","country_name__MLT","country_name__MMR","country_name__MNE","country_name__MNG","country_name__MOZ","country_name__MRT","country_name__MUS","country_name__MWI","country_name__MYS","country_name__NAM","country_name__NER","country_name__NGA","country_name__NIC","country_name__NLD","country_name__NOR","country_name__NPL","country_name__NRU","country_name__NZL","country_name__OMN","country_name__PAK","country_name__PAN","country_name__PER","country_name__PHL","country_name__PLW","country_name__PNG","country_name__POL","country_name__PRK","country_name__PRT","country_name__PRY","country_name__PSE","country_name__QAT","country_name__ROU","country_name__RUS","country_name__RWA","country_name__SAU","country_name__SDN","country_name__SEN","country_name__SGP","country_name__SLB","country_name__SLE","country_name__SLV","country_name__SMR","country_name__SOM","country_name__SRB","country_name__SSD","country_name__STP","country_name__SUR","country_name__SVK","country_name__SVN","country_name__SWE","country_name__SWZ","country_name__SYC","country_name__SYR","country_name__TCD","country_name__TGO","country_name__THA","country_name__TJK","country_name__TKM","country_name__TLS","country_name__TON","country_name__TTO","country_name__TUN","country_name__TUR","country_name__TUV","country_name__TZA","country_name__UGA","country_name__UKR","country_name__URY","country_name__USA","country_name__UZB","country_name__VCT","country_name__VEN","country_name__VNM","country_name__VUT","country_name__WSM","country_name__YEM","country_name__ZAF","country_name__ZMB","country_name__ZWE","indicator_name__44206"
"AZE","7.243","7.775","8.123","8.539","9.032","9.146","9.265","9.385","9.506","9.623","9.736","9.845","9.95","10.048","10.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDI","5.439","5.987","6.379","7.365","8.676","8.958","9.246","9.54","9.844","10.16","10.488","10.827","11.175","11.531","15.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEL","10.007","10.186","10.282","10.547","10.939","11.014","11.085","11.154","11.221","11.288","11.354","11.42","11.482","11.539","11.904","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEN","4.978","5.906","6.866","7.982","9.199","9.461","9.729","10.005","10.287","10.576","10.872","11.175","11.485","11.801","15.672","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFA","8.811","10.09","11.608","13.422","15.605","16.082","16.571","17.073","17.586","18.111","18.646","19.193","19.751","20.321","27.404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGD","103.172","115.17","127.658","139.036","147.575","149.273","151.006","152.761","154.517","156.256","157.977","159.685","161.377","163.046","178.994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGR","8.841","8.379","7.998","7.687","7.425","7.379","7.334","7.29","7.246","7.2","7.152","7.102","7.052","7","6.417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHR","0.496","0.564","0.665","0.889","1.241","1.278","1.3","1.315","1.336","1.372","1.426","1.494","1.569","1.641","2.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHS","0.256","0.28","0.298","0.325","0.355","0.36","0.364","0.367","0.371","0.374","0.378","0.382","0.386","0.389","0.427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIH","4.463","3.829","3.751","3.765","3.705","3.661","3.605","3.543","3.482","3.429","3.386","3.352","3.324","3.301","3.127","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
