indicator_value__|,indicator_value__|__103006__1990,indicator_value__|__103006__1991,indicator_value__|__103006__1992,indicator_value__|__103006__1993,indicator_value__|__103006__1994,indicator_value__|__103006__1995,indicator_value__|__103006__1996,indicator_value__|__103006__1997,indicator_value__|__103006__1998,indicator_value__|__103006__1999,indicator_value__|__103006__2000,indicator_value__|__103006__2001,indicator_value__|__103006__2002,indicator_value__|__103006__2003,indicator_value__|__103006__2004,indicator_value__|__103006__2005,indicator_value__|__103006__2006,indicator_value__|__103006__2007,indicator_value__|__103006__2008,indicator_value__|__103006__2009,indicator_value__|__103006__2010,indicator_value__|__103006__2011,indicator_value__|__103006__2012,indicator_value__|__103006__2013,indicator_value__|__103006__2014,indicator_value__|__103006__2015,indicator_value__|__103006__2016,indicator_value__|__103006__2017,indicator_value__|__103006__2018,indicator_value__|__103006__2019
MDA,7.986,8.104,8.223,8.341,8.46,8.578,8.668,8.758,8.849,8.939,9.029,9.295,9.561,9.827,10.093,10.359,10.625,10.944,10.946,11.044,11.076,11.148,11.447,11.632,11.576,11.577,11.563,11.563,11.563,11.708
MDG,,,,,,,,,,,5.169,5.169,5.267,5.364,5.462,5.559,5.657,5.754,5.852,5.949,6.047,6.063,6.08,6.096,6.113,6.129,6.146,6.146,6.1,6.1
MDV,4.04,3.934,3.828,3.722,3.616,3.51,3.418,3.326,3.234,3.142,3.05,3.138,3.226,3.314,3.402,3.49,3.768,3.946,4.314,4.682,4.947,5.212,5.477,5.742,6.196,6.65,6.818,6.818,6.818,7.02
MEX,5.527,5.707,5.886,6.066,6.245,6.425,6.472,6.52,6.567,6.615,6.722,6.819,6.976,7.133,7.369,7.563,7.968,7.975,8.042,8.236,8.005,8.402,8.571,8.357,8.403,8.602,8.6,8.601,8.612,8.755
MHL,,,,,,,,,,,,,,,,,,,,,,10.756,10.777,10.799,10.821,10.842,10.864,10.886,10.886,10.886
MKD,,,,,,,,,,,6.506,6.818,7.145,7.488,7.831,8.174,8.355,8.535,8.716,8.897,9.078,9.259,9.334,9.408,9.483,9.557,9.632,9.68,9.741,9.813
MLI,0.714,0.749,0.784,0.818,0.853,0.888,0.953,1.019,1.084,1.15,1.216,1.306,1.396,1.487,1.577,1.667,1.732,1.796,1.86,1.924,1.989,2.045,2.141,2.237,2.269,2.105,2.229,2.291,2.353,2.353
MLT,7.396,7.407,7.417,7.428,7.438,7.448,7.57,7.691,7.812,7.934,8.055,8.198,8.34,8.483,8.626,9.785,9.822,9.859,10.009,10.158,10.308,10.473,10.797,11.028,11.126,11.214,11.288,11.288,11.288,11.326
MMR,2.43,2.486,2.542,2.598,2.654,2.71,2.788,2.866,2.944,3.022,3.1,3.19,3.28,3.37,3.46,3.55,3.658,3.766,3.874,3.982,4.09,4.308,4.526,4.744,4.8,4.857,4.913,4.953,4.994,5.034
MNG,7.69,7.714,7.738,7.762,7.786,7.81,7.886,7.962,8.038,8.114,8.19,8.276,8.362,8.448,8.534,8.62,8.752,8.884,9.016,9.148,9.481,9.813,9.872,9.931,9.991,10.051,10.111,10.155,10.172,10.251
MOZ,0.822,0.953,1.085,1.216,1.348,1.479,1.742,1.868,1.995,2.122,2.248,2.375,2.502,2.628,2.755,2.881,2.942,3.003,3.063,3.124,3.184,2.528,2.676,2.823,2.971,3.119,3.33,3.435,3.541,3.541
MRT,2.23,2.306,2.382,2.458,2.534,2.61,2.682,2.754,2.826,2.898,2.97,3.046,3.122,3.198,3.274,3.35,3.434,3.518,3.602,3.686,3.77,3.894,4.018,4.142,4.266,4.266,4.39,4.502,4.614,4.726
MUS,5.7,5.812,5.924,6.036,6.148,6.26,6.242,6.224,6.206,6.188,6.17,6.38,6.59,6.8,7.01,7.22,7.414,7.608,7.802,7.996,8.19,8.52,8.642,8.868,9.094,9.094,9.32,9.32,9.43,9.54
MWI,2.45,2.502,2.554,2.606,2.658,2.71,2.778,2.846,2.914,2.982,3.05,3.118,3.186,3.254,3.322,3.39,3.57,3.75,3.93,4.11,4.29,4.318,4.346,4.374,4.402,4.43,4.53,4.53,4.63,4.73
MYS,6.53,6.736,6.942,7.148,7.354,7.56,7.771,7.982,8.193,8.404,8.615,8.421,8.227,8.033,7.839,7.625,8.214,8.804,9.394,9.614,9.767,10.119,10.127,10.135,10.144,10.152,10.16,10.16,10.16,10.373
NAM,5.59,5.606,5.622,5.638,5.654,5.67,5.648,5.626,5.604,5.582,5.56,5.774,5.81,5.845,5.881,5.952,6.006,6.059,6.113,6.166,6.22,6.334,6.448,6.562,6.676,6.79,6.84,6.89,6.94,6.99
NER,0.69,0.728,0.766,0.804,0.842,0.88,0.924,0.968,1.012,1.056,1.1,1.14,1.18,1.22,1.26,1.3,1.33,1.36,1.39,1.42,1.45,1.502,1.632,1.687,1.741,1.796,1.874,1.951,2.029,2.079
NGA,,,,,,,,,,,,,,5.249,5.249,5.248,5.248,5.247,5.247,5.246,5.246,5.479,5.713,5.947,6.061,6.176,6.292,6.411,6.532,6.655
NIC,4.09,4.184,4.278,4.372,4.466,4.56,4.664,4.768,4.872,4.976,5.08,5.156,5.232,5.308,5.384,5.46,5.568,5.676,5.784,5.892,6,6.136,6.272,6.408,6.544,6.544,6.68,6.796,6.796,6.912
NLD,10.164,10.233,10.302,10.371,10.44,10.509,10.569,10.629,10.69,10.75,10.81,10.977,11.143,11.31,11.476,11.643,11.758,11.989,12.017,11.935,11.966,11.986,12.05,12.072,12.099,12.182,12.225,12.277,12.346,12.415
NOR,11.534,11.585,11.636,11.687,11.738,11.789,11.84,11.891,11.942,11.993,12.044,12.095,12.146,12.197,12.687,12.445,12.533,12.564,12.651,12.675,12.726,12.788,12.648,12.697,12.477,12.525,12.567,12.783,12.848,12.898
NPL,2.02,2.064,2.108,2.152,2.196,2.24,2.266,2.292,2.318,2.344,2.37,2.456,2.542,2.628,2.714,2.8,2.902,3.004,3.106,3.208,3.31,3.295,3.951,4.206,4.462,4.718,4.882,4.698,4.856,5.014
NZL,11.54,11.55,11.56,11.57,11.58,11.59,11.592,11.594,11.596,11.598,11.6,11.61,11.62,11.63,11.64,11.65,11.711,11.773,11.834,11.896,11.957,12.019,12.08,12.142,12.203,12.422,12.562,12.678,12.678,12.782
OMN,,,,,,,,,,,5.34,5.634,5.944,6.361,6.584,6.808,7.031,7.255,8.106,7.702,7.925,8.258,8.591,8.924,9.257,9.546,9.639,9.732,9.732,9.732
PAK,2.283,2.381,2.479,2.578,2.676,2.774,2.874,2.973,3.073,3.172,3.272,3.52,3.768,4.015,4.263,4.511,4.444,4.377,4.376,4.547,4.681,4.783,4.848,4.927,5.128,5.089,5.07,5.115,5.159,5.159
PAN,7.26,7.416,7.572,7.728,7.884,8.04,8.138,8.236,8.335,8.433,8.53,8.626,8.721,8.815,8.91,9.005,9.082,9.159,9.235,9.312,9.274,9.326,9.502,9.678,9.854,9.854,10.03,10.17,10.17,10.24
PER,6.578,6.714,6.851,6.987,7.124,7.26,7.4,7.54,7.679,7.819,7.959,8.107,8.255,8.403,8.551,8.734,8.096,8.109,8.381,8.382,8.417,9.088,8.62,8.802,9.42,9.115,9.377,9.536,9.696,9.696
PHL,6.59,6.696,6.802,6.908,7.014,7.12,7.208,7.296,7.385,7.473,7.681,7.716,7.871,8.026,8.646,8.742,8.838,8.934,8.965,8.957,8.921,8.997,9.073,9.149,9.222,9.296,9.327,9.36,9.393,9.393
PLW,10.298,10.417,10.536,10.655,10.774,10.893,10.991,11.089,11.187,11.285,11.383,11.387,11.39,11.393,11.397,11.4,11.532,11.665,11.797,11.93,12.062,12.195,12.202,12.21,12.883,12.785,12.687,12.589,12.491,12.491
PNG,2.32,2.44,2.56,2.68,2.8,2.92,2.988,3.056,3.124,3.192,3.26,3.318,3.376,3.434,3.492,3.55,3.63,3.71,3.79,3.87,3.95,4.076,4.202,4.328,4.328,4.328,4.58,4.58,4.62,4.66
POL,9.75,9.904,10.058,10.212,10.366,10.52,10.627,10.734,10.841,10.948,11.055,11.098,11.359,11.456,11.552,11.648,11.745,11.841,11.938,12.097,12.211,12.315,11.746,12.062,12.131,12.202,12.273,12.294,12.294,12.472
PRT,6.217,6.262,6.308,6.353,6.399,6.444,6.475,6.506,6.688,6.741,6.821,6.916,6.989,7.173,7.413,7.522,7.646,7.68,7.789,7.937,8.071,8.287,8.482,8.645,8.942,9.06,9.112,9.191,9.241,9.263
PRY,5.752,5.827,5.859,5.976,6.05,6.125,6.077,6.029,5.982,5.934,5.886,6.172,6.458,6.969,7.126,7.344,7.068,7.148,7.383,6.968,7.703,7.811,7.776,8.292,8.249,8.525,8.351,8.45,8.45,8.535
PSE,,,,,,,,,,,,,,,7.654,7.761,7.867,8.049,8.153,8.467,8.525,8.749,9.029,8.874,8.918,9.022,9.105,9.105,9.105,9.166
QAT,5.401,5.51,5.62,5.729,5.839,5.948,6.341,6.734,7.127,7.52,7.913,8.011,8.108,8.206,8.397,8.791,9.185,9.579,9.677,9.246,8.41,8.727,9.201,9.886,9.806,9.737,9.667,9.667,9.667,9.731
ROU,9.036,9.139,9.241,9.344,9.446,9.549,9.613,9.676,9.74,9.803,9.867,9.711,9.619,9.735,9.914,10.092,10.271,10.523,10.603,10.622,10.658,10.776,10.87,10.933,10.862,10.883,10.978,10.978,10.978,11.071
RUS,9.204,9.373,9.542,9.711,9.88,10.049,10.309,10.568,10.828,11.087,11.347,11.359,11.371,11.382,11.394,11.406,11.418,11.43,11.442,11.453,11.465,11.531,11.598,11.664,11.73,11.796,11.84,12.02,12.172,12.172
RWA,1.76,1.802,1.844,1.886,1.928,1.97,2.03,2.09,2.15,2.21,2.27,2.378,2.486,2.594,2.702,2.81,2.944,3.078,3.212,3.346,3.829,3.777,3.726,3.797,4.008,4.01,4.146,4.282,4.341,4.417
SAU,5.65,5.75,5.85,5.95,6.05,6.168,6.271,6.375,6.478,6.581,6.685,6.838,6.991,7.144,7.485,7.556,7.815,8.074,8.333,8.592,8.851,9.11,9.369,9.502,9.502,9.804,9.944,10.085,10.225,10.225
SDN,1.5,1.594,1.688,1.782,1.876,1.97,2.064,2.158,2.252,2.346,2.44,2.538,2.636,2.734,2.832,2.93,2.97,3.01,3.05,3.09,3.13,3.228,3.326,3.424,3.522,3.62,3.62,3.67,3.72,3.77
SEN,2.2,2.172,2.144,2.116,2.088,2.06,2.026,1.992,1.958,1.924,1.89,2.347,2.352,2.357,2.363,2.368,2.373,2.379,2.384,2.389,2.4,2.419,2.628,2.78,2.832,2.883,2.935,2.986,3.069,3.183
SGP,5.79,6.096,6.402,6.708,7.014,7.32,7.636,7.952,8.268,8.584,8.9,9.213,9.527,9.84,10.153,10.596,10.477,10.251,10.533,10.544,10.982,11.052,11.071,11.209,11.276,11.628,11.646,11.398,11.625,11.625
SLB,,,,,,,,,,4.498,4.552,4.606,4.66,4.714,4.768,4.822,4.878,4.933,4.989,5.044,5.1,5.157,5.214,5.272,5.331,5.441,5.441,5.541,5.541,5.712
SLE,1.58,1.656,1.732,1.808,1.884,1.96,2.028,2.096,2.164,2.232,2.3,2.376,2.452,2.528,2.604,2.68,2.756,2.832,2.908,2.984,3.06,3.128,3.196,3.264,3.332,3.4,3.4,3.5,3.6,3.7
SLV,3.718,3.816,3.915,4.013,4.112,4.21,4.4,4.589,4.779,4.968,5.158,5.328,5.499,5.669,5.84,6.01,6.363,5.769,6.373,6.457,7.142,6.527,6.708,6.58,6.542,6.618,6.769,6.873,6.89,6.907
SRB,7.95,8.122,8.294,8.466,8.638,8.81,8.926,9.042,9.158,9.274,9.39,9.554,9.718,9.882,10.046,10.21,10.21,10.21,10.367,10.438,10.401,10.633,10.46,10.413,10.715,11.013,11.127,11.137,11.181,11.194
SSD,,,,,,,,,,,,,,,,,,,4.849,4.849,4.849,4.849,4.849,4.849,4.849,4.849,4.849,4.849,4.849,4.8
STP,2.876,3.009,3.142,3.275,3.408,3.541,3.674,3.807,3.941,4.074,4.207,4.263,4.32,4.376,4.432,4.489,4.545,4.602,4.658,4.765,4.871,4.977,5.083,5.189,5.296,5.56,5.838,6.13,6.437,6.437
SUR,,,,,,,,,,,,,,,7.714,7.651,7.651,7.651,7.651,7.651,7.675,8.259,8.844,8.9,8.956,9.013,9.069,9.125,9.125,9.261
SVK,10.75,10.878,11.006,11.134,11.262,11.39,11.178,10.967,10.755,10.544,10.332,10.199,10.281,10.441,10.601,10.762,10.922,11.082,11.242,11.403,11.563,12.089,12.251,12.234,12.287,12.453,12.552,12.606,12.639,12.693
SVN,10.903,10.968,11.033,11.099,11.164,11.229,11.296,11.363,11.43,11.497,11.564,11.536,11.508,11.481,11.97,11.715,11.847,11.787,11.945,12.061,12.096,12.211,11.651,11.72,11.908,11.908,12.029,12.273,12.466,12.659
SWE,10.54,10.622,10.704,10.786,10.868,10.95,11.044,11.138,11.232,11.326,11.42,11.503,11.587,11.822,12.274,12.357,12.432,12.504,12.169,12.24,12.31,12.38,12.449,12.222,12.283,12.367,12.426,12.426,12.426,12.548
SWZ,4.226,4.328,4.306,4.284,4.262,4.24,4.164,4.088,4.012,3.936,3.86,3.714,3.568,3.422,3.978,4.534,5.091,5.252,5.414,5.576,5.737,5.933,6.129,6.325,6.521,6.642,6.748,6.748,6.855,6.855
SYC,,,,,,,,,,,7.438,7.497,7.556,7.615,7.674,7.733,7.81,8.204,8.599,8.993,9.388,9.435,9.482,9.529,9.577,9.625,9.686,9.786,9.885,9.992
SYR,3.97,4.072,4.174,4.276,4.378,4.48,4.5,4.52,4.54,4.56,4.58,4.824,4.741,5.093,5.446,5.798,6.151,6.504,6.296,6.596,6.25,6.25,6.25,6.25,5.625,5.063,5.063,5.1,5.1,5.1
TCD,,,,,,,,,,,1.358,1.358,1.358,1.371,1.385,1.491,1.578,1.666,1.754,1.841,1.929,2.002,2.075,2.148,2.22,2.293,2.351,2.409,2.47,2.524
TGO,2.99,3.098,3.206,3.314,3.422,3.53,3.62,3.71,3.8,3.89,3.98,4.03,4.08,4.13,4.18,4.23,4.25,4.27,4.29,4.31,4.33,4.374,4.418,4.462,4.462,4.555,4.648,4.741,4.834,4.95
THA,4.572,4.7,4.74,4.823,4.907,4.991,5.221,5.451,5.681,5.91,6.14,6.337,6.533,6.729,6.831,6.95,6.625,7.145,7.315,7.485,7.283,7.519,7.715,7.478,7.591,7.61,7.601,7.731,7.771,7.939
TJK,9.57,9.768,9.966,10.164,10.362,10.56,10.577,10.594,10.612,10.629,10.712,10.622,10.598,10.573,10.549,10.525,10.501,10.477,10.996,10.948,10.9,10.82,10.74,10.66,10.58,10.5,10.545,10.608,10.671,10.734
TKM,,,,,,,,,,,,,,,,,,,,,9.878,9.862,9.845,9.829,9.813,9.796,9.78,9.78,10.274,10.274
TLS,,,,,,,,,,,2.762,2.762,2.89,3.018,3.146,3.274,3.403,3.531,3.977,4.424,4.439,4.453,4.467,4.481,4.496,4.51,4.524,4.538,4.538,4.794
TON,8.3,8.468,8.636,8.804,8.972,9.14,9.128,9.116,9.104,9.092,9.08,9.11,9.14,9.17,9.2,9.23,9.403,9.822,10.118,10.414,10.71,10.858,10.886,10.974,11.062,11.15,11.15,11.18,11.21,11.24
TTO,7.94,8.06,8.18,8.3,8.42,8.54,8.666,8.792,8.918,9.044,9.17,9.292,9.414,9.536,9.78,10.023,9.898,10.511,10.716,10.722,10.76,10.797,10.835,10.873,10.911,10.949,10.987,11.026,11.026,11.034
TUN,3.43,3.57,3.71,3.85,3.99,4.13,4.284,4.438,4.592,4.746,4.9,5.07,5.24,5.41,5.58,5.75,5.916,6.082,6.336,6.414,6.678,6.854,6.769,6.85,6.93,7.01,7.091,7.172,7.172,7.22
TUR,4.528,4.584,4.64,4.695,4.751,4.807,4.955,5.102,5.25,5.397,5.545,5.634,5.724,5.813,5.951,6.074,5.963,6.088,6.184,6.271,6.538,6.725,7.258,7.543,7.68,7.637,7.801,7.965,8.107,8.107
TZA,3.6,3.698,3.796,3.894,3.992,4.09,4.121,4.151,4.182,4.212,4.243,4.273,4.304,4.407,4.511,4.76,4.832,4.904,4.976,5.048,5.12,5.12,5.456,5.589,5.723,5.857,5.972,6.008,6.008,6.122
UGA,2.77,2.892,3.014,3.136,3.258,3.38,3.476,3.572,3.668,3.764,3.86,3.974,4.172,4.286,4.4,4.43,4.628,4.826,5.151,5.222,5.653,5.414,5.261,5.392,5.523,5.654,5.712,5.826,6.09,6.172
UKR,9.14,9.32,9.5,9.68,9.86,10.04,10.168,10.296,10.424,10.552,10.68,10.776,10.937,10.968,11.064,11.16,11.196,11.232,11.268,11.304,11.34,11.272,11.289,11.312,11.501,11.431,11.422,11.414,11.406,11.397
URY,7.16,7.2,7.241,7.281,7.321,7.362,7.485,7.609,7.733,7.857,7.981,7.98,7.978,7.976,7.974,7.973,8.029,8.159,8.405,8.405,8.36,8.442,8.516,8.523,8.628,8.684,8.719,8.729,8.848,8.926
USA,12.34,12.42,12.5,12.581,12.661,12.741,12.742,12.743,12.744,12.745,12.746,12.748,12.749,12.75,12.751,12.754,12.835,12.874,13.17,13.246,13.295,13.351,13.394,13.265,13.289,13.289,13.321,13.413,13.413,13.413
UZB,,,,,,,,,,,9.088,9.232,9.375,9.519,9.663,9.806,9.95,10.138,10.327,10.515,10.704,10.892,11.08,11.269,11.3,11.374,11.388,11.706,11.756,11.807
VCT,,,,,,,,,,,7.538,7.61,7.682,7.754,7.826,7.899,7.971,8.043,8.115,8.188,8.26,8.332,8.404,8.446,8.489,8.531,8.574,8.617,8.66,8.785
VEN,4.59,4.772,4.954,5.136,5.318,5.5,5.683,5.812,6.013,6.214,6.415,6.374,6.818,7.019,7.22,7.421,7.577,8.06,8.212,8.333,8.853,9.75,9.749,9.858,9.968,10.077,10.323,10.323,10.307,10.307
VNM,3.94,4.072,4.204,4.336,4.468,4.6,4.764,4.928,5.092,5.256,5.42,5.624,5.828,6.032,6.236,6.44,6.642,6.844,7.046,8.046,7.45,7.6,7.75,7.9,7.843,7.989,8.05,8.2,8.2,8.32
VUT,,,,,,,,,,,,,,,,6.504,6.54,6.576,6.612,6.648,6.684,6.721,6.757,6.793,6.793,6.793,6.68,6.76,6.84,7.065
WSM,7.602,7.724,7.845,7.966,8.088,8.209,8.331,8.452,8.573,8.695,8.816,8.937,9.059,9.18,9.301,9.423,9.544,9.665,9.787,9.908,10.03,10.49,10.511,10.532,10.553,10.574,10.595,10.595,10.595,10.779
YEM,0.29,0.362,0.434,0.506,0.578,0.65,0.76,0.87,0.98,1.09,1.2,1.332,1.464,1.596,1.728,1.86,2.008,2.156,2.304,2.452,2.6,2.8,3,3,3,3,3,3,3.2,3.2
ZAF,6.49,6.6,7.177,7.523,7.869,8.215,8.327,8.438,8.549,8.661,8.772,7.489,8.529,8.768,8.831,8.906,8.957,9.083,9.723,10.137,10.215,9.574,9.821,9.905,9.989,10.134,10.155,10.155,10.241,10.241
ZMB,4.68,4.952,5.224,5.496,5.768,6.04,6.008,5.976,5.944,5.912,5.88,5.968,6.056,6.144,6.232,6.32,6.376,6.291,6.488,6.544,6.6,6.674,6.748,6.822,6.769,6.864,6.96,7.056,7.104,7.152
ZWE,4.53,4.732,4.934,5.136,5.338,5.54,5.729,5.919,6.108,6.297,6.487,6.676,6.863,6.827,6.788,6.75,6.85,6.95,7.05,7.15,7.25,7.25,7.865,8.007,8.15,8.201,8.292,8.342,8.378,8.467
