indicator_value__|,indicator_value__|__103006__1990,indicator_value__|__103006__1991,indicator_value__|__103006__1992,indicator_value__|__103006__1993,indicator_value__|__103006__1994,indicator_value__|__103006__1995,indicator_value__|__103006__1996,indicator_value__|__103006__1997,indicator_value__|__103006__1998,indicator_value__|__103006__1999,indicator_value__|__103006__2000,indicator_value__|__103006__2001,indicator_value__|__103006__2002,indicator_value__|__103006__2003,indicator_value__|__103006__2004,indicator_value__|__103006__2005,indicator_value__|__103006__2006,indicator_value__|__103006__2007,indicator_value__|__103006__2008,indicator_value__|__103006__2009,indicator_value__|__103006__2010,indicator_value__|__103006__2011,indicator_value__|__103006__2012,indicator_value__|__103006__2013,indicator_value__|__103006__2014,indicator_value__|__103006__2015,indicator_value__|__103006__2016,indicator_value__|__103006__2017,indicator_value__|__103006__2018,indicator_value__|__103006__2019
BRB,8.088,8.188,8.288,8.387,8.487,8.587,8.606,8.625,8.643,8.662,8.994,9.033,9.073,9.112,9.151,9.19,9.224,9.258,9.292,9.326,9.36,9.908,10.457,10.482,10.507,10.532,10.557,10.557,10.557,10.642
BRN,7.51,7.62,7.73,7.84,7.95,8.06,8.106,8.152,8.198,8.244,8.29,8.328,8.366,8.404,8.442,8.48,8.538,8.596,8.654,8.712,8.77,8.82,8.87,8.92,8.97,9.02,9.06,9.06,9.1,9.14
BTN,,,,,,,,,,,,,,,,2.3,2.301,2.302,2.303,2.304,2.305,2.306,2.504,2.818,3.132,3.446,3.76,4.074,4.074,4.074
BWA,5.52,5.758,5.996,6.234,6.472,6.71,6.89,7.07,7.25,7.43,7.61,7.744,7.878,8.012,8.146,8.28,8.398,8.516,8.634,8.752,8.87,8.947,9.023,9.1,9.177,9.234,9.253,9.33,9.403,9.56
CAF,2.06,2.134,2.208,2.282,2.356,2.43,2.516,2.602,2.688,2.774,2.86,2.94,3.02,3.1,3.18,3.26,3.322,3.384,3.446,3.508,3.57,3.702,3.834,3.966,4.098,4.23,4.256,4.256,4.282,4.282
CAN,10.28,10.35,10.42,10.49,10.56,10.63,10.7,10.77,10.84,10.91,10.98,11.228,11.476,11.724,11.972,12.22,12.288,12.356,12.424,12.492,12.56,12.668,12.776,12.884,13.105,13.239,13.282,13.315,13.315,13.366
CHE,9.683,9.701,9.719,9.736,9.754,9.772,10.106,10.44,10.774,11.108,11.442,11.554,11.665,11.777,11.888,12,12.284,12.568,12.852,13.331,13.316,13.318,13.405,13.359,12.937,13.085,13.041,13.103,13.381,13.381
CHL,8.056,8.13,8.203,8.277,8.35,8.424,8.49,8.556,8.621,8.687,8.753,8.964,9.175,9.386,9.598,9.544,9.491,9.93,10.28,11.053,9.027,9.544,9.711,9.882,10.055,10.199,10.344,10.447,10.447,10.583
CHN,4.83,5.002,5.174,5.346,5.518,5.69,5.846,6.002,6.158,6.314,6.47,6.548,6.626,6.704,6.782,6.86,6.911,6.961,7.012,7.063,7.333,7.399,7.464,7.53,7.636,7.742,7.848,7.848,7.9,8.06
CIV,2.04,2.132,2.224,2.316,2.408,2.5,2.65,2.8,2.95,3.1,3.25,3.348,3.446,3.544,3.642,3.74,3.836,3.932,4.028,4.124,4.22,4.376,4.532,4.688,4.444,5,5.096,5.192,5.192,5.288
CMR,3.47,3.606,3.742,3.878,4.014,4.15,4.288,4.426,4.564,4.702,4.84,4.901,5.092,5.11,5.129,5.147,5.166,5.184,5.192,5.201,5.284,5.499,5.703,5.907,5.798,5.957,6.121,6.207,6.292,6.311
COD,2.25,2.384,2.518,2.652,2.786,2.92,2.994,3.068,3.142,3.216,3.29,3.499,3.708,3.918,4.127,4.336,4.545,4.755,4.964,5.173,5.92,5.592,5.801,5.97,6.517,6.365,6.562,6.759,6.759,6.76
COG,4.354,4.509,4.663,4.818,4.972,5.127,5.211,5.295,5.38,5.464,5.548,5.602,5.656,5.709,5.763,5.817,5.872,5.926,5.981,6.035,6.092,6.15,6.207,6.301,6.394,6.487,6.502,6.502,6.502,6.517
COL,5.455,5.583,5.71,5.838,5.965,6.093,6.174,6.256,6.337,6.419,6.5,6.515,6.53,6.544,6.559,6.795,6.723,7.2,7.333,7.259,7.407,7.533,7.64,7.849,8.009,8.063,8.269,8.327,8.327,8.469
COM,,,,,,,,,,,2.762,2.762,2.79,2.818,2.846,3.065,3.285,3.504,3.724,3.943,4.163,4.382,4.602,4.661,4.722,4.783,4.846,4.909,4.994,5.079
CPV,,,,,,,,,,,3.504,3.666,3.828,3.99,4.152,4.314,4.476,4.638,4.8,4.962,5.124,5.286,5.448,5.611,5.773,5.872,5.973,6.076,6.181,6.288
CRI,6.936,7.035,7.134,7.232,7.331,7.43,7.543,7.657,7.77,7.884,7.997,7.976,7.955,7.934,7.913,7.892,7.934,8.081,8.367,8.44,8.308,8.43,8.493,8.538,8.766,8.603,8.581,8.667,8.667,8.742
CUB,8.485,8.628,8.77,8.913,9.055,9.198,9.286,9.374,9.462,9.55,9.638,9.688,9.452,9.787,9.837,9.887,10.119,10.352,10.584,10.816,11.049,11.281,10.841,11.023,11.144,11.387,11.569,11.751,11.751,11.791
CYP,8.701,8.805,8.91,9.014,9.119,9.223,9.369,9.514,9.66,9.806,9.952,10.097,10.243,10.389,10.47,10.661,10.915,11.224,11.307,11.286,11.469,11.63,11.832,11.966,11.904,11.886,12.104,12.104,12.171,12.171
CZE,8.386,8.386,8.637,8.887,9.137,9.388,9.638,9.888,10.138,10.389,10.639,10.889,11.139,11.39,11.64,11.89,12.14,12.158,12.207,12.311,12.403,12.487,12.372,12.616,12.829,12.677,12.62,12.661,12.71,12.722
DEU,8.77,8.948,9.126,9.304,9.482,9.66,9.83,10,10.413,10.826,11.238,11.651,12.064,12.477,13.108,13.026,13.526,13.601,13.673,13.741,13.764,13.84,13.885,13.916,14.037,14.082,14.132,14.132,14.132,14.152
DJI,,,,,,2.825,2.825,2.926,3.028,3.13,3.232,3.334,3.436,3.537,3.639,3.741,3.843,3.875,3.908,3.94,3.973,4.005,4.038,4.046,4.054,4.062,4.07,4.07,4,4.1
DMA,,,,,,,,,,,7.775,7.775,7.782,7.789,7.796,7.803,7.81,7.817,7.824,7.831,7.838,7.845,7.852,7.894,7.935,7.977,8.018,8.059,8.101,8.142
DNK,8.96,9.15,9.34,9.53,9.72,9.91,10.074,10.238,10.402,10.566,10.73,11.426,12.123,12.819,12.801,12.783,12.765,12.516,12.943,12.733,12.721,12.729,12.763,12.784,12.805,12.531,12.522,12.577,12.642,12.614
DOM,4.97,5.145,5.319,5.494,5.669,5.844,5.956,6.069,6.182,6.295,6.408,6.532,6.655,6.779,6.903,7.027,7.121,7.215,7.232,7.249,7.333,7.42,7.523,7.611,7.753,7.825,7.88,7.935,7.935,8.124
DZA,3.555,3.79,4.025,4.261,4.496,4.731,4.962,5.194,5.425,5.657,5.888,6.086,6.284,6.481,6.679,6.877,7.024,7.171,6.74,6.936,7.131,7.37,7.608,7.847,7.887,7.927,7.947,7.967,7.987,7.987
ECU,6.636,6.691,6.746,6.8,6.855,6.91,6.918,6.926,6.934,6.942,6.95,7.012,7.074,7.135,7.197,7.259,7.255,7.715,7.723,7.736,7.845,7.904,8.094,8.284,8.356,8.696,8.687,8.76,8.833,8.907
EGY,3.51,3.618,3.726,3.834,3.942,4.05,4.19,4.33,4.47,4.61,4.75,4.922,5.094,5.266,5.438,5.61,5.798,5.986,6.174,6.362,6.55,6.662,6.774,6.886,6.998,7.11,7.218,7.218,7.326,7.434
ERI,,,,,,,,,,,,,,,,3.712,3.742,3.771,3.801,3.83,3.86,3.86,3.86,3.86,3.86,3.86,3.901,3.901,3.9,3.9
ESP,6.039,6.378,6.717,7.055,7.394,7.733,7.862,7.991,8.12,8.249,8.379,8.453,8.527,8.6,8.682,8.972,9.08,9.173,9.239,9.304,9.417,9.54,9.568,9.496,9.781,9.974,10.116,10.184,10.252,10.252
EST,9.31,9.546,9.782,10.018,10.254,10.49,10.74,10.99,11.24,11.49,11.74,11.808,11.876,11.944,12.012,12.08,12.16,12.24,12.32,12.4,12.48,12.514,12.548,12.582,12.616,12.94,13.066,13.029,13.064,13.143
ETH,,,,,,,,,,,1.476,1.564,1.652,1.74,1.828,1.916,2.004,2.023,2.172,2.252,2.332,2.412,2.412,2.495,2.495,2.581,2.681,2.795,2.795,2.883
FIN,7.46,7.694,7.928,8.162,8.396,8.63,8.768,8.906,9.044,9.182,9.32,9.416,9.512,9.608,12.491,12.543,12.595,12.649,12.698,12.756,12.804,12.855,12.902,12.75,12.626,12.678,12.714,12.769,12.824,12.824
FJI,8.37,8.654,8.938,9.222,9.506,9.79,9.754,9.718,9.682,9.646,9.61,9.522,9.434,9.346,9.258,9.17,9.252,9.334,9.416,9.498,9.58,9.822,10.064,10.306,10.548,10.79,10.79,10.837,10.884,10.902
