indicator_value__|,1990,indicator_value__|__140606__1991,1992,1993,1994,indicator_value__|__140606__1995,1996,1997,1998,1999,indicator_value__|__140606__2000,2001,2002,2003,2004,indicator_value__|__140606__2005,2006,2007,2008,2009,indicator_value__|__140606__2010,indicator_value__|__140606__2011,indicator_value__|__140606__2012,indicator_value__|__140606__2013,indicator_value__|__140606__2014,indicator_value__|__140606__2015,indicator_value__|__140606__2016,indicator_value__|__140606__2017,indicator_value__|__140606__2018,indicator_value__|__140606__2019
URY,,8.869,,,,9.681,,,,,12.627,,,,,12.009,,,,,7.158,6.307,6.451,6.444,6.547,7.488,7.841,7.89,8.336,8.731
USA,,6.8,,,,5.65,,,,,3.992,,,,,5.083,,,,,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.682
UZB,,1.9,,,,7.8,,,,,12.065,,,,,6.878,,,,,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83,5.736,5.917
VCT,,19.77,,,,20.478,,,,,21.009,,,,,20.057,,,,,19.443,19.448,19.473,19.507,19.394,19.315,19.217,19.047,18.879,18.881
VEN,,9.45,,,,10.24,,,,,13.99,,,,,10.663,,,,,7.112,6.902,6.601,7.54,7.481,7.44,7.39,7.302,7.217,8.801
VNM,,1.827,,,,1.921,,,,,2.26,,,,,2.137,,,,,1.114,1.875,1.676,1.977,1.873,2.125,2.083,2.053,1.993,2.013
VUT,,4.457,,,,4.618,,,,,4.644,,,,,4.59,,,,,4.625,4.628,4.641,4.657,4.604,4.567,4.522,4.443,4.368,4.385
WSM,,2.1,,,,3.14,,,,,4.633,,,,,5.198,,,,,5.602,5.68,8.752,8.796,8.72,8.656,8.578,8.443,8.312,8.359
YEM,,8.161,,,,8.917,,,,,11.567,,,,,12.167,,,,,12.932,13.08,13.248,13.424,13.467,13.395,13.307,13.152,13.002,12.91
ZAF,,29.732,,,,30.157,,,,,30.229,,,,,29.253,,,,,24.693,24.653,24.732,24.569,24.898,25.156,26.551,27.071,26.92,28.181
ZMB,,18.9,,,,16.703,,,,,12.93,,,,,15.9,,,,,13.19,10.343,7.85,8.618,9.34,10.105,10.882,11.626,11.5,11.425
ZWE,,4.81,,,,5.583,,,,,5.64,,,,,4.474,,,,,5.217,5.368,5.381,5.399,5.342,5.302,5.253,5.168,5.087,4.954
