indicator_value__|,indicator_value__|__69206__1990,indicator_value__|__69206__1991,indicator_value__|__69206__1992,indicator_value__|__69206__1993,indicator_value__|__69206__1994,indicator_value__|__69206__1995,indicator_value__|__69206__1996,indicator_value__|__69206__1997,indicator_value__|__69206__1998,indicator_value__|__69206__1999,indicator_value__|__69206__2000,indicator_value__|__69206__2001,indicator_value__|__69206__2002,indicator_value__|__69206__2003,indicator_value__|__69206__2004,indicator_value__|__69206__2005,indicator_value__|__69206__2006,indicator_value__|__69206__2007,indicator_value__|__69206__2008,indicator_value__|__69206__2009,indicator_value__|__69206__2010,indicator_value__|__69206__2011,indicator_value__|__69206__2012,indicator_value__|__69206__2013,indicator_value__|__69206__2014,indicator_value__|__69206__2015,indicator_value__|__69206__2016,indicator_value__|__69206__2017,indicator_value__|__69206__2018,indicator_value__|__69206__2019
BOL,56.099,56.721,57.351,57.989,58.631,59.276,59.922,60.566,61.204,61.835,62.452,63.054,63.64,64.21,64.766,65.312,65.853,66.395,66.937,67.476,68.007,68.521,69.01,69.468,69.891,70.277,70.626,70.945,71.239,71.51
BRA,66.343,66.742,67.141,67.539,67.932,68.318,68.695,69.061,69.419,69.769,70.116,70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.88
BRB,74.704,74.892,75.101,75.332,75.583,75.852,76.131,76.41,76.68,76.933,77.162,77.362,77.534,77.682,77.808,77.915,78.009,78.097,78.184,78.272,78.364,78.456,78.547,78.633,78.717,78.801,78.888,78.981,79.081,79.19
BRN,70.185,70.439,70.696,70.951,71.207,71.465,71.727,71.994,72.265,72.538,72.809,73.076,73.332,73.575,73.801,74.006,74.189,74.351,74.494,74.623,74.74,74.852,74.962,75.075,75.193,75.318,75.45,75.585,75.722,75.86
BTN,52.878,53.633,54.384,55.131,55.878,56.636,57.418,58.236,59.089,59.974,60.884,61.808,62.728,63.624,64.483,65.289,66.031,66.709,67.325,67.882,68.384,68.84,69.263,69.662,70.046,70.419,70.781,71.129,71.46,71.78
BWA,59.191,58.232,57.219,56.222,55.284,54.41,53.572,52.749,51.947,51.214,50.629,50.281,50.232,50.518,51.15,52.13,53.435,54.983,56.679,58.447,60.211,61.91,63.511,64.976,66.265,67.338,68.178,68.812,69.275,69.59
CAF,49.104,48.728,48.267,47.731,47.143,46.53,45.922,45.353,44.857,44.461,44.19,44.061,44.063,44.182,44.413,44.744,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.28
CAN,77.303,77.48,77.653,77.821,77.986,78.152,78.324,78.505,78.698,78.902,79.118,79.341,79.567,79.793,80.015,80.235,80.454,80.675,80.897,81.114,81.322,81.51,81.674,81.812,81.927,82.026,82.117,82.21,82.315,82.43
CHE,77.568,77.721,77.889,78.079,78.296,78.537,78.796,79.064,79.332,79.597,79.858,80.118,80.378,80.641,80.905,81.163,81.413,81.65,81.872,82.077,82.269,82.45,82.626,82.799,82.971,83.142,83.31,83.473,83.63,83.78
CHL,73.509,73.808,74.1,74.386,74.671,74.957,75.244,75.53,75.813,76.092,76.366,76.634,76.894,77.146,77.391,77.63,77.865,78.099,78.33,78.558,78.779,78.986,79.176,79.349,79.504,79.646,79.779,79.909,80.042,80.18
CHN,69.145,69.242,69.355,69.496,69.67,69.885,70.14,70.428,70.737,71.063,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.91
CIV,53.254,53.062,52.779,52.423,52.013,51.569,51.109,50.657,50.242,49.891,49.635,49.495,49.475,49.572,49.788,50.12,50.561,51.091,51.682,52.313,52.964,53.62,54.271,54.906,55.508,56.065,56.567,57.017,57.422,57.78
CMR,53.362,53.088,52.738,52.343,51.936,51.554,51.238,51.009,50.885,50.878,50.993,51.222,51.536,51.908,52.321,52.76,53.215,53.681,54.153,54.627,55.101,55.581,56.073,56.576,57.083,57.583,58.063,58.511,58.921,59.29
COD,49.043,49.225,49.311,49.302,49.22,49.111,49.04,49.066,49.233,49.557,50.041,50.667,51.385,52.144,52.917,53.675,54.401,55.091,55.743,56.35,56.909,57.427,57.914,58.381,58.828,59.254,59.655,60.026,60.368,60.68
COG,54.638,54.281,53.867,53.424,52.984,52.583,52.252,52.016,51.899,51.925,52.123,52.517,53.091,53.817,54.667,55.6,56.573,57.541,58.466,59.321,60.093,60.785,61.423,62.022,62.582,63.097,63.556,63.954,64.29,64.57
COL,69.75,69.936,70.161,70.433,70.752,71.112,71.497,71.887,72.264,72.619,72.945,73.241,73.517,73.777,74.026,74.265,74.5,74.732,74.962,75.193,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109,77.29
COM,56.677,57.168,57.623,58.038,58.407,58.722,58.972,59.16,59.294,59.388,59.46,59.529,59.617,59.738,59.904,60.126,60.407,60.734,61.094,61.475,61.862,62.24,62.595,62.922,63.214,63.471,63.7,63.912,64.118,64.32
CPV,64.676,64.992,65.298,65.598,65.899,66.224,66.596,67.026,67.512,68.041,68.583,69.099,69.557,69.932,70.219,70.424,70.565,70.676,70.786,70.911,71.062,71.243,71.445,71.661,71.886,72.117,72.347,72.57,72.782,72.98
CRI,75.654,75.844,76.028,76.211,76.394,76.579,76.765,76.948,77.124,77.293,77.452,77.601,77.74,77.871,77.996,78.117,78.239,78.362,78.491,78.626,78.769,78.919,79.074,79.234,79.398,79.565,79.738,79.914,80.095,80.28
CUB,74.638,74.696,74.801,74.957,75.164,75.412,75.686,75.964,76.23,76.475,76.699,76.905,77.105,77.303,77.499,77.688,77.864,78.019,78.15,78.256,78.338,78.4,78.446,78.485,78.521,78.561,78.607,78.662,78.726,78.8
CYP,76.554,76.712,76.866,77.017,77.166,77.312,77.456,77.598,77.738,77.875,78.009,78.139,78.264,78.385,78.506,78.63,78.764,78.91,79.071,79.245,79.43,79.621,79.812,79.999,80.178,80.35,80.513,80.672,80.828,80.98
CZE,71.89,72.122,72.386,72.681,73.001,73.336,73.676,74.007,74.323,74.619,74.899,75.167,75.434,75.707,75.987,76.272,76.557,76.837,77.107,77.365,77.61,77.843,78.067,78.283,78.492,78.692,78.881,79.058,79.222,79.38
DEU,75.488,75.692,75.904,76.128,76.368,76.623,76.891,77.166,77.441,77.714,77.982,78.245,78.502,78.752,78.993,79.222,79.435,79.631,79.81,79.974,80.124,80.261,80.391,80.517,80.642,80.77,80.902,81.039,81.18,81.33
DJI,56.678,56.831,56.943,57.017,57.056,57.065,57.05,57.022,56.998,56.992,57.022,57.1,57.235,57.427,57.682,57.991,58.34,58.719,59.124,59.561,60.062,60.667,61.395,62.239,63.171,64.136,65.064,65.893,66.582,67.11
DMA,75.626,75.885,76.071,76.194,76.264,76.296,76.309,76.322,76.348,76.396,76.467,76.559,76.657,76.754,76.846,76.933,77.018,77.103,77.192,77.284,77.38,77.477,77.574,77.669,77.763,77.854,77.944,78.032,78.119,78.21
DNK,74.941,75.045,75.166,75.303,75.457,75.629,75.82,76.026,76.245,76.475,76.712,76.953,77.195,77.439,77.684,77.936,78.204,78.49,78.793,79.107,79.416,79.704,79.958,80.171,80.342,80.475,80.583,80.681,80.784,80.9
DOM,66.574,66.932,67.272,67.591,67.887,68.164,68.425,68.677,68.925,69.175,69.429,69.69,69.957,70.227,70.499,70.771,71.041,71.304,71.559,71.806,72.046,72.284,72.523,72.763,73.003,73.241,73.471,73.689,73.892,74.08
DZA,66.938,67.27,67.575,67.877,68.194,68.54,68.919,69.323,69.745,70.183,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,76.88
ECU,68.899,69.347,69.777,70.189,70.587,70.972,71.348,71.716,72.075,72.425,72.761,73.078,73.371,73.641,73.887,74.112,74.319,74.514,74.705,74.895,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8,77.01
EGY,64.572,64.978,65.392,65.831,66.298,66.779,67.249,67.68,68.051,68.357,68.602,68.796,68.961,69.116,69.271,69.434,69.608,69.788,69.971,70.159,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825,71.99
ERI,49.588,50.04,50.545,51.1,51.696,52.316,52.938,53.548,54.137,54.707,55.273,55.864,56.5,57.191,57.932,58.707,59.487,60.243,60.952,61.602,62.193,62.732,63.238,63.726,64.201,64.664,65.111,65.538,65.941,66.32
